


  RMIN =  .750  MAXV   = 10  BE =   12.6450
  RMAX = 3.500  KDMAXV = 10  RE =    1.1977
  DELR =  .005  NEIG   =  0  DE =20000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM   1.250 TO   2.545 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         3.3600           29115.200         3.3650           29118.460         3.3700           29121.670
         3.3750           29124.840         3.3800           29127.970         3.3850           29131.060
         3.3900           29134.110         3.3950           29137.120         3.4000           29140.090
         3.4050           29143.020         3.4100           29145.910         3.4150           29148.760
         3.4200           29151.570         3.4250           29154.350         3.4300           29157.090
         3.4350           29159.790         3.4400           29162.460         3.4450           29165.100
1
         3.4500           29167.690         3.4550           29170.260         3.4600           29172.790
         3.4650           29175.280         3.4700           29177.750         3.4750           29180.180
         3.4800           29182.580         3.4850           29184.940         3.4900           29187.280
         3.4950           29189.580         3.5000           29191.860
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1  14.4570        14.4570       .0000               .0000         .0000       .0000      1.1201      1.1201
    0  14.1886        14.1900      -.0014           1415.1980     1413.4900      1.7078      1.0191      1.2465
    1  13.6548        13.6560      -.0012           4147.2620     4145.9500      1.3115       .9582      1.3597
    2  13.1207        13.1220      -.0013           6753.4420     6752.3700      1.0718       .9219      1.4507
    3  12.5860        12.5880      -.0020           9233.6990     9232.7500       .9492       .8954      1.5342
    4  12.0494        12.0540      -.0046          11588.1500    11587.0900      1.0645       .8746      1.6149
    5  11.5091        11.5200      -.0109          13817.1300    13815.3900      1.7441       .8576      1.6948
    6  10.9628        10.9860      -.0232          15921.0700    15917.6500      3.4180       .8433      1.7755
    7  10.4089        10.4520      -.0431          17900.3400    17893.8700      6.4668       .8310      1.8581
    8   9.8464         9.9180      -.0716          19755.2000    19744.0500     11.1445       .8203      1.9434
    9   9.2742         9.3840      -.1098          21485.5700    21468.1900     17.3789       .8110      2.0324
   10   8.6832         8.8500      -.1668          23089.6700    23066.2900     23.3789       .8026      2.1262
  NOISE FACTOR HAS MAXIMUM VALUE OF    .32E-09
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 0   0    .8809749E+00             .1159111E+01
                                 0   1    .6597226E-01             .1573085E+01
                                 0   2    .4967269E-01             .1309538E+01
                                 0   3    .4893512E-06             .5487973E+02
                                 0   4    .1967671E-02             .1092197E+01
                                 0   5    .5098846E-03             .7344212E+00
