


  RMIN =  .750  MAXV   = 10  BE =   14.9340
  RMAX = 3.500  KDMAXV = 10  RE =    1.1021
  DELR =  .005  NEIG   =  0  DE =25000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .780 TO   2.375 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         2.5050           26987.410         2.5100           27018.280         2.5150           27048.760
         2.5200           27078.840         2.5250           27108.550         2.5300           27137.880
         2.5350           27166.830         2.5400           27195.410         2.5450           27223.630
         2.5500           27251.480         2.5550           27278.990         2.5600           27306.130
         2.5650           27332.940         2.5700           27359.400         2.5750           27385.520
         2.5800           27411.300         2.5850           27436.760         2.5900           27461.890
         2.5950           27486.700         2.6000           27511.180         2.6050           27535.360
         2.6100           27559.220         2.6150           27582.770         2.6200           27606.030
         2.6250           27628.980         2.6300           27651.640         2.6350           27674.010
         2.6400           27696.080         2.6450           27717.880         2.6500           27739.390
         2.6550           27760.630         2.6600           27781.590         2.6650           27802.280
         2.6700           27822.700         2.6750           27842.860         2.6800           27862.760
         2.6850           27882.400         2.6900           27901.790         2.6950           27920.920
         2.7000           27939.810         2.7050           27958.460         2.7100           27976.860
         2.7150           27995.020         2.7200           28012.950         2.7250           28030.650
         2.7300           28048.110         2.7350           28065.350         2.7400           28082.370
         2.7450           28099.170         2.7500           28115.740         2.7550           28132.110
         2.7600           28148.250         2.7650           28164.190         2.7700           28179.930
1
         2.7750           28195.450         2.7800           28210.780         2.7850           28225.900
         2.7900           28240.830         2.7950           28255.570         2.8000           28270.110
         2.8050           28284.460         2.8100           28298.630         2.8150           28312.610
         2.8200           28326.410         2.8250           28340.030         2.8300           28353.470
         2.8350           28366.740         2.8400           28379.830         2.8450           28392.750
         2.8500           28405.500         2.8550           28418.090         2.8600           28430.510
         2.8650           28442.770         2.8700           28454.870         2.8750           28466.810
         2.8800           28478.600         2.8850           28490.230         2.8900           28501.710
         2.8950           28513.040         2.9000           28524.220         2.9050           28535.260
         2.9100           28546.140         2.9150           28556.890         2.9200           28567.500
         2.9250           28577.970         2.9300           28588.300         2.9350           28598.490
         2.9400           28608.550         2.9450           28618.480         2.9500           28628.280
         2.9550           28637.950         2.9600           28647.500         2.9650           28656.920
         2.9700           28666.210         2.9750           28675.390         2.9800           28684.440
         2.9850           28693.370         2.9900           28702.190         2.9950           28710.890
         3.0000           28719.480         3.0050           28727.950         3.0100           28736.310
         3.0150           28744.570         3.0200           28752.710         3.0250           28760.750
         3.0300           28768.680         3.0350           28776.510         3.0400           28784.230
         3.0450           28791.860         3.0500           28799.380         3.0550           28806.800
         3.0600           28814.130         3.0650           28821.360         3.0700           28828.490
         3.0750           28835.530         3.0800           28842.480         3.0850           28849.340
         3.0900           28856.110         3.0950           28862.780         3.1000           28869.370
         3.1050           28875.880         3.1100           28882.290         3.1150           28888.620
         3.1200           28894.870         3.1250           28901.040         3.1300           28907.130
         3.1350           28913.130         3.1400           28919.060         3.1450           28924.900
         3.1500           28930.670         3.1550           28936.370         3.1600           28941.990
         3.1650           28947.540         3.1700           28953.010         3.1750           28958.410
         3.1800           28963.740         3.1850           28969.000         3.1900           28974.190
         3.1950           28979.310         3.2000           28984.360         3.2050           28989.350
         3.2100           28994.270         3.2150           28999.120         3.2200           29003.910
         3.2250           29008.640         3.2300           29013.310         3.2350           29017.910
         3.2400           29022.460         3.2450           29026.940         3.2500           29031.370
         3.2550           29035.730         3.2600           29040.040         3.2650           29044.290
         3.2700           29048.490         3.2750           29052.630         3.2800           29056.710
         3.2850           29060.740         3.2900           29064.720         3.2950           29068.650
         3.3000           29072.520         3.3050           29076.340         3.3100           29080.120
         3.3150           29083.840         3.3200           29087.510         3.3250           29091.130
         3.3300           29094.710         3.3350           29098.240         3.3400           29101.720
         3.3450           29105.160         3.3500           29108.550         3.3550           29111.900
         3.3600           29115.200         3.3650           29118.460         3.3700           29121.670
         3.3750           29124.840         3.3800           29127.970         3.3850           29131.060
         3.3900           29134.110         3.3950           29137.120         3.4000           29140.090
         3.4050           29143.020         3.4100           29145.910         3.4150           29148.760
         3.4200           29151.570         3.4250           29154.350         3.4300           29157.090
         3.4350           29159.790         3.4400           29162.460         3.4450           29165.100
1
         3.4500           29167.690         3.4550           29170.260         3.4600           29172.790
         3.4650           29175.280         3.4700           29177.750         3.4750           29180.180
         3.4800           29182.580         3.4850           29184.940         3.4900           29187.280
         3.4950           29189.580         3.5000           29191.860
1V'  B(V)  (CAL)   B(V)  (OBS)    DEVIATION        E(V)ALC)   E(V) (OBS)   DEVIATION        RMIN     RMAX   
   -1  14.4570        14.4570       .0000               .0000         .0000       .0000      1.1201      1.1201
    0  14.1886        14.1900      -.0014           1415.1980     1413.4900      1.7078      1.0191      1.2465
    1  13.6548        13.6560      -.0012           4147.2620     4145.9500      1.3115       .9582      1.3597
    2  13.1207        13.1220      -.0013           6753.4420     6752.3700      1.0718       .9219      1.4507
    3  12.5860        12.5880      -.0020           9233.6990     9232.7500       .9492       .8954      1.5342
    4  12.0494        12.0540      -.0046          11588.1500    11587.0900      1.0645       .8746      1.6149
    5  11.5091        11.5200      -.0109          13817.1300    13815.3900      1.7441       .8576      1.6948
    6  10.9628        10.9860      -.0232          15921.0700    15917.6500      3.4180       .8433      1.7755
    7  10.4089        10.4520      -.0431          17900.3400    17893.8700      6.4668       .8310      1.8581
    8   9.8464         9.9180      -.0716          19755.2000    19744.0500     11.1445       .8203      1.9434
    9   9.2742         9.3840      -.1098          21485.5700    21468.1900     17.3789       .8110      2.0324
   10   8.6832         8.8500      -.1668          23089.6700    23066.2900     23.3789       .8026      2.1262
  NOISE FACTOR HAS MAXIMUM VALUE OF    .32E-09
1
 
                                V"   V""  FRANCK CONDON FACTOR     R-CENTROID

                                 0   0    .9906606E+00             .1131532E+01
                                 0   1    .8615595E-02             .2827698E+00
                                 0   2    .6952567E-03             .4446695E+00
                                 0   3    .2621567E-04            -.1387126E+00
                                 0   4    .1204695E-05            -.8186581E+00
