


  RMIN =  .400  MAXV   = 10  BE =   14.6030
  RMAX = 3.500  KDMAXV = 10  RE =    1.1145
  DELR =  .005  NEIG   =  0  DE =18000.0000
  ZMU  =  .930


 THE KLEIN DUNHAM POTENTIAL PRODUCED FOR THIS STATE COVERS THE REGION FROM    .640 TO   3.195 ANGSTROMS
 THE TO TAL POTENTIAL FUNCTION I

         RADIUS           ENERGY            RADIUS           ENERGY            RADIUS           ENERGY
         1.2750            2014.088         1.2800            2126.856         1.2850            2241.599
         1.2900            2358.239         1.2950            2476.705         1.3000            2596.924
         1.3050            2718.829         1.3100            2842.354         1.3150            2967.437
         1.3200            3094.015         1.3250            3222.011         1.3300            3351.385
         1.3350            3482.070         1.3400            3614.002         1.3450            3747.123
         1.3500            3881.380         1.3550            4016.727         1.3600            4153.119
         1.3650            4290.489         1.3700            4428.792         1.3750            4567.980
         1.3800            4708.008         1.3850            4848.830         1.3900            4990.402
         1.3950            5132.680         1.4000            5275.613         1.4050            5419.159
         1.4100            5563.293         1.4150            5707.977         1.4200            5853.168
1
         1.4250            5998.822         1.4300            6144.890         1.4350            6291.354
         1.4400            6438.184         1.4450            6585.309         1.4500            6732.736
         1.4550            6880.438         1.4600            7028.382         1.4650            7176.513
         1.4700            7324.770         1.4750            7473.200         1.4800            7621.757
         1.4850            7770.390         1.4900            7919.063         1.4950            8067.767
         1.5000            8216.508         1.5050            8365.244         1.5100            8513.881
         1.5150            8662.448         1.5200            8810.956         1.5250            8959.381
         1.5300            9107.674         1.5350            9255.774         1.5400            9403.758
         1.5450            9551.535         1.5500            9699.087         1.5550            9846.399
         1.5600            9993.470         1.5650           10140.300         1.5700           10286.840
         1.5750           10433.060         1.5800           10578.980         1.5850           10724.580
         1.5900           10869.860         1.5950           11014.790         1.6000           11159.310
         1.6050           11303.460         1.6100           11447.220         1.6150           11590.560
         1.6200           11733.480         1.6250           11875.960         1.6300           12018.010
         1.6350           12159.600         1.6400           12300.720         1.6450           12441.380
         1.6500           12581.540         1.6550           12721.190         1.6600           12860.320
         1.6650           12998.960         1.6700           13137.100         1.6750           13274.680
         1.6800           13411.700         1.6850           13548.170         1.6900           13684.110
         1.6950           13819.510         1.7000           13954.290         1.7050           14088.500
         1.7100           14222.140         1.7150           14355.210         1.7200           14487.690
         1.7250           14619.540         1.7300           14750.820         1.7350           14881.460
         1.7400           15011.440         1.7450           15140.820         1.7500           15269.610
         1.7550           15397.790         1.7600           15525.310         1.7650           15652.180
         1.7700           15778.410         1.7750           15904.000         1.7800           16028.940
         1.7850           16153.230         1.7900           16276.880         1.7950           16399.850
         1.8000           16522.160         1.8050           16643.830         1.8100           16764.860
